Metric,Value
Average,304.29
Minimum,262.07
Maximum,410.3
P50,295.15
P95,368.9
Iterations,100
Warmup,20
Samples,"[353.4711003303528, 283.3801000379026, 276.9614001736045, 394.1905000247061, 322.3255001939833, 324.80990001931787, 324.33059997856617, 305.34090008586645, 340.87140019983053, 275.82979993894696, 262.071399949491, 409.89529993385077, 318.19240003824234, 316.63749972358346, 330.21780010312796, 276.43239963799715, 277.3498999886215, 330.50880022346973, 295.3063999302685, 270.79949993640184, 298.72570000588894, 291.72819992527366, 296.22630029916763, 269.2494997754693, 269.412100315094, 282.51729998737574, 287.79600001871586, 286.29030007869005, 284.64769991114736, 280.9649999253452, 339.289499912411, 306.7879998125136, 294.6939002722502, 305.7455001398921, 281.3513996079564, 335.58360021561384, 316.82390021160245, 285.01159977167845, 273.90849962830544, 312.4090996570885, 286.514800041914, 287.0724997483194, 393.1497000157833, 316.7785997502506, 315.3233998455107, 325.12940000742674, 319.07839979976416, 273.9924998022616, 267.2550003044307, 410.30449979007244, 278.7393000908196, 368.89930022880435, 342.23819989711046, 296.5635000728071, 290.64370039850473, 302.5118000805378, 372.9374003596604, 289.61100010201335, 343.18740013986826, 329.3751999735832, 310.2973001077771, 326.28099992871284, 312.97399988397956, 323.95830005407333, 319.93559980764985, 291.6920003481209, 300.42950017377734, 267.14570028707385, 285.72640009224415, 274.8545999638736, 271.4443001896143, 264.28679982200265, 292.29759983718395, 277.18860004097223, 290.81449983641505, 266.2017000839114, 295.1470999978483, 299.7452998533845, 320.76969975605607, 281.7270001396537, 316.4099003188312, 271.8080999329686, 282.81560027971864, 289.11999985575676, 281.65269969031215, 358.46919985488057, 311.68860010802746, 290.3347001411021, 362.39879997447133, 313.0748998373747, 319.14869975298643, 296.15330044180155, 266.01599995046854, 265.87989972904325, 270.13029996305704, 349.60349975153804, 286.07819974422455, 279.9260001629591, 273.9357999525964, 274.4537997059524]"
