Metric,Value
Average,396.82
Minimum,326.76
Maximum,587.78
P50,392.45
P95,457.44
Iterations,100
Warmup,20
Samples,"[384.268700145185, 388.3926998823881, 414.2415001988411, 426.42199993133545, 380.30119985342026, 410.7288997620344, 372.6510996930301, 404.97149992734194, 414.12119986489415, 382.0211999118328, 408.08540023863316, 398.85189989581704, 382.7112000435591, 388.76149989664555, 407.9042999073863, 392.90029974654317, 348.02679996937513, 457.4420000426471, 412.54300018772483, 392.98410015180707, 425.02390034496784, 388.94440000876784, 413.9185003004968, 381.07459992170334, 409.1311004012823, 398.11789989471436, 414.3760004080832, 374.32899978011847, 388.68459966033697, 395.3618002124131, 392.45299994945526, 357.196600176394, 377.8562997467816, 499.52010018751025, 415.1926999911666, 385.6175998225808, 404.8343999311328, 403.28940004110336, 409.9122998304665, 372.6909998804331, 385.2628003805876, 403.5139000043273, 420.33790005370975, 394.08050011843443, 407.39479986950755, 488.55090001598, 400.3007998690009, 409.28380005061626, 389.1976997256279, 391.0755002871156, 398.8594003021717, 328.99670023471117, 385.1903001777828, 393.0959003046155, 425.9319002740085, 380.90769993141294, 408.914300147444, 403.18379970267415, 389.03759978711605, 372.8306000120938, 341.2604001350701, 587.7751996740699, 386.7041999474168, 402.3302001878619, 406.58160019665956, 388.78139993175864, 489.23390032723546, 405.8631001971662, 410.4337999597192, 397.40659995004535, 408.41649984940886, 401.655700057745, 386.29989977926016, 345.4160001128912, 360.90630013495684, 555.6668001227081, 354.35190005227923, 396.24099992215633, 383.7250000797212, 397.15460035949945, 413.4930996224284, 386.0758002847433, 333.3717002533376, 375.7422002963722, 326.76109997555614, 382.29750003665686, 390.13969991356134, 379.43550013005733, 351.785599719733, 384.62499994784594, 388.491699937731, 384.0445000678301, 422.4684997461736, 388.34229996427894, 391.10640017315745, 353.31209981814027, 359.1066002845764, 400.20979987457395, 380.3212000057101, 332.6838999055326]"
