Metric,Value
Average,369.79
Minimum,283.6
Maximum,1438.35
P50,313.68
P95,829.84
Iterations,100
Warmup,20
Samples,"[301.0396999306977, 297.18400025740266, 285.26159981265664, 294.1606999374926, 295.55909987539053, 314.1507003456354, 291.42240015789866, 313.67980036884546, 309.72620006650686, 293.27569995075464, 290.6458000652492, 283.6044002324343, 295.58979999274015, 365.59809977188706, 300.6702000275254, 863.1716002710164, 305.7892001233995, 379.01739962399006, 289.898700080812, 289.24679988995194, 303.73309971764684, 289.3948997370899, 314.5649996586144, 852.3086002096534, 325.0082996673882, 293.2567000389099, 284.81849981471896, 1175.472800154239, 316.34069979190826, 326.415800023824, 289.59039971232414, 829.8403997905552, 296.8834997154772, 300.1099997200072, 308.024600148201, 316.90650014206767, 379.85899997875094, 292.67040034756064, 349.00250006467104, 318.54220014065504, 432.358399964869, 364.8834000341594, 303.09889977797866, 299.7027998790145, 336.1817002296448, 315.94030000269413, 353.5989001393318, 295.1742997393012, 304.7062000259757, 375.82649989053607, 312.83940002322197, 499.2679003626108, 444.68130031600595, 319.26799984648824, 318.3123003691435, 326.8244001083076, 313.7125000357628, 323.1023997068405, 1120.650100056082, 322.6327998563647, 330.48149989917874, 308.7710002437234, 293.96829986944795, 344.3892002105713, 535.4603999294341, 425.4640000872314, 314.3552001565695, 470.05779994651675, 294.92060001939535, 297.0063001848757, 286.4467999897897, 316.9879000633955, 291.2284000776708, 286.59329982474446, 292.002699803561, 300.54409988224506, 381.55570020899177, 293.3920002542436, 297.38340014591813, 416.6890000924468, 293.68679970502853, 434.6898999065161, 328.0052002519369, 403.2230996526778, 320.2981003560126, 352.25410014390945, 363.81090013310313, 333.07560021057725, 406.3003002665937, 329.0606001392007, 308.07230016216636, 297.58690018206835, 298.43520000576973, 295.6730001606047, 291.0947003401816, 288.3655000478029, 290.13950005173683, 1438.351800199598, 334.992999676615, 290.385200176388]"
