Metric,Value
Average,302.43
Minimum,263.49
Maximum,427.06
P50,291.1
P95,364.63
Iterations,100
Warmup,20
Samples,"[269.71379993483424, 367.2233996912837, 321.16870023310184, 280.2808000706136, 269.56529961898923, 299.12229999899864, 279.41189985722303, 283.207000233233, 271.08919993042946, 272.0348001457751, 294.03139976784587, 310.78979978337884, 284.789000172168, 355.6837001815438, 280.712699983269, 294.18479977175593, 386.9740003719926, 287.1448998339474, 351.5698001720011, 321.61219976842403, 319.0125999972224, 318.1656999513507, 285.7090001925826, 291.96330020204186, 354.86709978431463, 272.758100181818, 403.98330008611083, 310.51449989899993, 288.06470008566976, 276.5808003023267, 284.41959992051125, 274.9446998350322, 319.71339974552393, 277.68930001184344, 282.763599883765, 280.0460997968912, 280.45119997113943, 324.52289992943406, 311.2985002808273, 325.781499966979, 321.83950021862984, 287.85179974511266, 286.385599989444, 267.98689970746636, 273.0475999414921, 263.4903001599014, 269.1395999863744, 427.0645999349654, 284.22689996659756, 280.6840999983251, 276.34779969230294, 277.55509968847036, 319.04210010543466, 320.9290001541376, 281.7319999448955, 264.33910010382533, 264.48060013353825, 265.30339987948537, 268.36759969592094, 266.46670000627637, 275.75450018048286, 364.62590005248785, 301.8229999579489, 325.9105999022722, 322.29650020599365, 323.8592999987304, 284.34669971466064, 370.1482000760734, 305.549300275743, 313.18420032039285, 283.99220015853643, 356.18950007483363, 319.3148002028465, 329.5996002852917, 313.3974000811577, 317.74319987744093, 286.0101000405848, 278.60600035637617, 274.75860016420484, 280.8413002640009, 287.4378003180027, 274.8008002527058, 264.36630031093955, 293.11029985547066, 316.7663002386689, 322.49930035322905, 322.9414997622371, 318.06290009990335, 320.69100020453334, 276.70970000326633, 297.23479971289635, 295.0308998115361, 270.88410034775734, 291.0977001301944, 330.1007002592087, 310.07809983566403, 327.58310018107295, 283.7665001861751, 356.74989968538284, 324.88410035148263]"
