Metric,Value
Average,318.55
Minimum,281.97
Maximum,485.83
P50,310.53
P95,382.65
Iterations,100
Warmup,20
Samples,"[308.3417001180351, 292.0432002283633, 382.64700025320053, 478.04039996117353, 295.93539983034134, 339.12459993734956, 319.5934002287686, 320.0224000029266, 322.43920024484396, 318.8184001483023, 320.1072998344898, 322.67169980332255, 317.36919982358813, 319.1031999886036, 325.59029990807176, 300.8820996619761, 303.1786000356078, 485.83410028368235, 345.7635003142059, 328.57959996908903, 291.15099972113967, 350.405499804765, 318.554500117898, 315.6775999814272, 314.298199955374, 330.0069998949766, 312.4438999220729, 302.0223998464644, 345.9370001219213, 291.5915003977716, 309.62130008265376, 310.51170034334064, 311.67580001056194, 287.36399998888373, 288.1245999597013, 448.6831002868712, 288.4577000513673, 334.6824999898672, 320.0197000987828, 324.47610003873706, 324.5043000206351, 310.8592997305095, 301.9906999543309, 338.2800002582371, 301.09869968146086, 342.5422003492713, 307.45979957282543, 313.8856999576092, 301.0607003234327, 354.4892999343574, 318.72859969735146, 330.6010002270341, 306.4813003875315, 329.95190005749464, 320.01230027526617, 322.0791001804173, 310.52930001169443, 319.46639996021986, 307.07470001652837, 295.0532999821007, 306.6476001404226, 297.2485995851457, 304.8450998030603, 299.30910002440214, 430.13389967381954, 291.1371001973748, 301.3527998700738, 303.17420000210404, 306.71990010887384, 283.103599678725, 303.9734996855259, 285.7784000225365, 285.9168001450598, 350.48210015520453, 330.77159989625216, 336.2358002923429, 315.39270002394915, 313.78749990835786, 286.07739973813295, 295.00360041856766, 301.8948999233544, 300.093499943614, 293.1873998604715, 285.1346000097692, 291.44009994342923, 283.6559000425041, 293.6138999648392, 294.27750036120415, 290.96730006858706, 286.8356998078525, 291.2011998705566, 305.0759001635015, 375.08489983156323, 301.2310001067817, 281.9655002094805, 297.7324998937547, 315.132400020957, 403.38260028511286, 320.060099940747, 318.2911998592317]"
