Metric,Value
Average,307.64
Minimum,282.01
Maximum,416.56
P50,300.64
P95,359.54
Iterations,100
Warmup,20
Samples,"[287.4011001549661, 309.2347998172045, 386.6367000155151, 297.2512003034353, 306.72680027782917, 298.3003002591431, 287.4943003989756, 300.25159986689687, 289.5136997103691, 308.71930019930005, 300.64350040629506, 339.78769974783063, 301.6133001074195, 335.2226996794343, 300.02110032364726, 298.78569999709725, 298.06220019236207, 286.99349984526634, 287.21260000020266, 306.47609988227487, 306.72849994152784, 292.98940021544695, 313.95789980888367, 343.119699973613, 320.6283999606967, 318.51059990003705, 303.96699998527765, 286.3235999830067, 300.6382999010384, 309.2164001427591, 302.222799975425, 298.2016000896692, 306.4514002762735, 315.42030023410916, 304.7503000125289, 297.54129983484745, 298.0258003808558, 294.0398999489844, 321.0436999797821, 304.5584997162223, 309.42169995978475, 416.5627998299897, 305.14480033889413, 284.15519976988435, 364.15630020201206, 319.64970007538795, 313.6375001631677, 291.7681001126766, 293.9949003048241, 389.26920015364885, 328.04680010303855, 287.38499991595745, 291.67209984734654, 284.80219980701804, 316.11029990017414, 299.1075003519654, 283.32020016387105, 308.4207996726036, 296.74499994143844, 287.3773002065718, 289.68829987570643, 299.8118996620178, 286.38030029833317, 293.1381999514997, 317.70920008420944, 293.8741003163159, 296.7251003719866, 303.53529984131455, 287.4603997915983, 293.59939973801374, 315.61460020020604, 310.8693999238312, 294.05019991099834, 284.55849969759583, 359.5400000922382, 284.26160011440516, 282.01059997081757, 305.42979994788766, 301.8351001664996, 283.6728999391198, 311.7184997536242, 304.1992001235485, 349.56090012565255, 299.68459997326136, 299.7924997471273, 302.8568997979164, 307.0920999161899, 292.45509998872876, 305.2015001885593, 410.32349970191717, 328.6178996786475, 296.25040013343096, 348.86369993910193, 292.4608998000622, 302.0773003809154, 293.8944003544748, 289.8899996653199, 288.4178999811411, 288.5215999558568, 333.26089987531304]"
